date,kcals,steps,km
2016-02-26 00:00:00+00:00,,1142.0,0.794
2016-02-27 00:00:00+00:00,,5412.0,3.71
2016-02-28 00:00:00+00:00,,14290.0,10.19
2016-02-29 00:00:00+00:00,,7493.0,5.22
2016-03-01 00:00:00+00:00,,4926.0,3.43
2016-03-02 00:00:00+00:00,,10308.0,9.34
2016-03-03 00:00:00+00:00,,5822.0,4.57
2016-03-04 00:00:00+00:00,,4020.0,3.06
2016-03-05 00:00:00+00:00,,6311.0,5.5
2016-03-06 00:00:00+00:00,,5453.0,4.38
2016-03-07 00:00:00+00:00,,4440.0,3.75
2016-03-08 00:00:00+00:00,,5663.0,4.42
2016-03-09 00:00:00+00:00,,4474.0,3.73
2016-03-10 00:00:00+00:00,,8239.0,6.34
2016-03-11 00:00:00+00:00,,9549.0,9.52
2016-03-12 00:00:00+00:00,,4159.0,3.79
2016-03-13 00:00:00+00:00,,4623.0,3.62
2016-03-14 00:00:00+00:00,,7882.0,6.76
2016-03-15 00:00:00+00:00,,4222.0,3.42
2016-03-16 00:00:00+00:00,,3789.0,3.28
2016-03-17 00:00:00+00:00,,3716.0,3.19
2016-03-18 00:00:00+00:00,,10485.0,11.39
2016-03-19 00:00:00+00:00,,3837.0,3.41
2016-03-20 00:00:00+00:00,,8167.0,8.17
2016-03-21 00:00:00+00:00,,6937.0,7.53
2016-03-22 00:00:00+00:00,,2996.0,2.87
2016-03-23 00:00:00+00:00,,31356.0,30.17
2016-03-24 00:00:00+00:00,,9046.0,14.88
2016-03-25 00:00:00+00:00,,7045.0,7.04
2016-03-26 00:00:00+00:00,,3895.0,2.77
2016-03-27 00:00:00+00:00,,27423.0,29.19
2016-03-28 00:00:00+00:00,,2769.0,2.05
2016-03-29 00:00:00+00:00,,4716.0,3.81
2016-03-30 00:00:00+00:00,,8404.0,6.45
2016-03-31 00:00:00+00:00,,7092.0,5.48
2016-04-01 00:00:00+00:00,,5612.0,4.3
2016-04-02 00:00:00+00:00,,6113.0,4.58
2016-04-03 00:00:00+00:00,,2430.0,1.91
2016-04-04 00:00:00+00:00,,11125.0,11.82
2016-04-05 00:00:00+00:00,,5426.0,4.13
2016-04-06 00:00:00+00:00,,13295.0,12.83
2016-04-07 00:00:00+00:00,,8772.0,6.5
2016-04-08 00:00:00+00:00,,4779.0,4.01
2016-04-09 00:00:00+00:00,,2506.0,2.15
2016-04-10 00:00:00+00:00,,2648.0,2.14
2016-04-11 00:00:00+00:00,,2889.0,2.28
2016-04-12 00:00:00+00:00,,5334.0,3.84
2016-04-13 00:00:00+00:00,,10602.0,7.9
2016-04-14 00:00:00+00:00,,9819.0,10.05
2016-04-15 00:00:00+00:00,,9956.0,8.85
2016-04-16 00:00:00+00:00,,12162.0,10.73
2016-04-17 00:00:00+00:00,,1242.0,1.02
2016-04-18 00:00:00+00:00,,2980.0,2.17
2016-04-19 00:00:00+00:00,,4946.0,4.0
2016-04-20 00:00:00+00:00,,15905.0,15.89
2016-04-21 00:00:00+00:00,,7149.0,5.42
2016-04-22 00:00:00+00:00,,11765.0,8.51
2016-04-23 00:00:00+00:00,,11840.0,9.77
2016-04-24 00:00:00+00:00,,2427.0,2.49
2016-04-25 00:00:00+00:00,,3564.0,2.86
2016-04-26 00:00:00+00:00,,4502.0,3.66
2016-04-27 00:00:00+00:00,,12473.0,12.49
2016-04-28 00:00:00+00:00,,10047.0,10.08
2016-04-29 00:00:00+00:00,,5517.0,4.45
2016-04-30 00:00:00+00:00,,7106.0,5.79
2016-05-01 00:00:00+00:00,,13006.0,10.36
2016-05-02 00:00:00+00:00,,13357.0,12.89
2016-05-03 00:00:00+00:00,,4044.0,9.39
2016-05-04 00:00:00+00:00,,7028.0,5.87
2016-05-05 00:00:00+00:00,,5282.0,6.52
2016-05-06 00:00:00+00:00,,7543.0,7.38
2016-05-07 00:00:00+00:00,,7451.0,6.58
2016-05-08 00:00:00+00:00,,3718.0,3.16
2016-05-09 00:00:00+00:00,,2734.0,2.12
2016-05-10 00:00:00+00:00,,5764.0,4.4
2016-05-11 00:00:00+00:00,,6979.0,5.45
2016-05-12 00:00:00+00:00,,7585.0,6.35
2016-05-13 00:00:00+00:00,,14047.0,10.85
2016-05-14 00:00:00+00:00,,10224.0,7.92
2016-05-15 00:00:00+00:00,,36680.0,26.24
2016-05-16 00:00:00+00:00,,5272.0,4.18
2016-05-17 00:00:00+00:00,,3319.0,2.52
2016-05-18 00:00:00+00:00,,9676.0,8.32
2016-05-19 00:00:00+00:00,,6561.0,5.49
2016-05-20 00:00:00+00:00,,9789.0,9.87
2016-05-21 00:00:00+00:00,,17466.0,12.37
2016-05-22 00:00:00+00:00,,11666.0,8.68
2016-05-23 00:00:00+00:00,,6520.0,5.02
2016-05-24 00:00:00+00:00,,5737.0,4.24
2016-05-25 00:00:00+00:00,,9292.0,8.02
2016-05-26 00:00:00+00:00,,7579.0,5.85
2016-05-27 00:00:00+00:00,,9905.0,9.63
2016-05-28 00:00:00+00:00,,4570.0,4.09
2016-05-29 00:00:00+00:00,,4167.0,3.98
2016-05-30 00:00:00+00:00,,8536.0,6.57
2016-05-31 00:00:00+00:00,,7334.0,5.1
2016-06-01 00:00:00+00:00,,11340.0,8.62
2016-06-02 00:00:00+00:00,,10930.0,9.92
2016-06-03 00:00:00+00:00,,14533.0,12.11
2016-06-04 00:00:00+00:00,,3498.0,3.04
2016-06-05 00:00:00+00:00,,5596.0,4.42
2016-06-06 00:00:00+00:00,,13438.0,13.95
2016-06-07 00:00:00+00:00,,4057.0,2.77
2016-06-08 00:00:00+00:00,,3674.0,2.83
2016-06-09 00:00:00+00:00,,6690.0,5.06
2016-06-10 00:00:00+00:00,,5822.0,4.89
2016-06-11 00:00:00+00:00,,9043.0,6.86
2016-06-12 00:00:00+00:00,,3713.0,2.65
2016-06-13 00:00:00+00:00,,1196.0,1.01
2016-06-14 00:00:00+00:00,,6773.0,4.35
2016-06-15 00:00:00+00:00,,10186.0,6.63
2016-06-16 00:00:00+00:00,,10414.0,6.29
2016-06-17 00:00:00+00:00,,17806.0,13.38
2016-06-18 00:00:00+00:00,,16929.0,10.63
2016-06-19 00:00:00+00:00,,15349.0,9.71
2016-06-20 00:00:00+00:00,,15172.0,9.67
2016-06-21 00:00:00+00:00,,19976.0,15.45
2016-06-22 00:00:00+00:00,,10215.0,8.51
2016-06-23 00:00:00+00:00,,10408.0,6.46
2016-06-24 00:00:00+00:00,,13251.0,8.11
2016-06-25 00:00:00+00:00,,13588.0,9.34
2016-06-26 00:00:00+00:00,,11410.0,7.38
2016-06-27 00:00:00+00:00,,20994.0,14.98
2016-06-28 00:00:00+00:00,,10708.0,6.68
